[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --END-- [ RunTime:-0.115079s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --START--
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run ParseTemplate Behavior [ RunTime:0.010278s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.092024s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --START--
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run ContentReplace Behavior [ RunTime:0.000096s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run TokenBuild Behavior [ RunTime:0.000075s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run ShowRuntime Behavior [ RunTime:0.000122s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.092805s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | SQL: SHOW COLUMNS FROM `newtype` [ RunTime:0.006324s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | SQL: SELECT * FROM `newtype` WHERE isdel=0   [ RunTime:0.001922s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --START--
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run LocationTemplate Behavior [ RunTime:0.000945s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --END-- [ RunTime:-0.136286s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --START--
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run ParseTemplate Behavior [ RunTime:0.005940s ]
