[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_template ] --END-- [ RunTime:-0.041408s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_parse ] --START--
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.032723s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.020675s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_filter ] --START--
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run ContentReplace Behavior [ RunTime:0.000098s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run TokenBuild Behavior [ RunTime:0.000073s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000124s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.047833s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_template ] --START--
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.001729s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_template ] --END-- [ RunTime:-0.076566s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_parse ] --START--
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.005312s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.055940s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_filter ] --START--
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run ContentReplace Behavior [ RunTime:0.000141s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run TokenBuild Behavior [ RunTime:0.000071s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000022s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000129s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.055693s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_end ] --START--
