[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.026195s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_filter ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ContentReplace Behavior [ RunTime:0.000097s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run TokenBuild Behavior [ RunTime:0.000067s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000022s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000123s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.029625s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | SQL: SHOW COLUMNS FROM `newtype` [ RunTime:0.002560s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | SQL: SELECT * FROM `newtype` WHERE isdel=0   [ RunTime:0.001120s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_template ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002458s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.065879s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_parse ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.004522s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.042271s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_filter ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ContentReplace Behavior [ RunTime:0.000082s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run TokenBuild Behavior [ RunTime:0.000070s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000117s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.041788s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | SQL: SELECT COUNT(*) AS tp_count FROM `news` join newtype on newtype.id=news.newtype LIMIT 1   [ RunTime:0.000656s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | SQL: SELECT news.id,news.newtitle,news.author,news.fstcreate,news.newcontent,`count`,`typename`,`entypename`,`newimg` FROM `news` join newtype on newtype.id=news.newtype ORDER BY id desc  LIMIT 0,32   [ RunTime:0.002276s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_template ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001417s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.077759s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_parse ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.011000s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.053120s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_filter ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ContentReplace Behavior [ RunTime:0.000299s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run TokenBuild Behavior [ RunTime:0.000070s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000022s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000153s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.059138s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_template ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001196s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.091282s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_parse ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.004811s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.066348s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_filter ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ContentReplace Behavior [ RunTime:0.000097s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run TokenBuild Behavior [ RunTime:0.000071s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000122s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.066153s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_template ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000902s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.098079s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_parse ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.003868s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.072847s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_filter ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ContentReplace Behavior [ RunTime:0.000451s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run TokenBuild Behavior [ RunTime:0.000072s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000268s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.071840s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_end ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001480s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001568s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ route_check ] --START--
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run CheckRoute Behavior [ RunTime:0.005458s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.005664s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ app_begin ] --START--
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004193s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004408s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | SQL: SHOW COLUMNS FROM `indexmenu` [ RunTime:0.006278s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | SQL: SELECT * FROM `indexmenu` WHERE isdel=0 ORDER BY sort  [ RunTime:0.002524s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_template ] --START--
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run LocationTemplate Behavior [ RunTime:0.005934s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.006158s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_parse ] --START--
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run ParseTemplate Behavior [ RunTime:0.038439s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.038636s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_filter ] --START--
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run ContentReplace Behavior [ RunTime:0.002352s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run TokenBuild Behavior [ RunTime:0.001735s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001685s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run ShowRuntime Behavior [ RunTime:0.002831s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009021s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | SQL: SHOW COLUMNS FROM `news` [ RunTime:0.004892s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | SQL: SELECT `id`,`newtitle`,`count` FROM `news` ORDER BY count LIMIT 10   [ RunTime:0.001692s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_template ] --START--
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run LocationTemplate Behavior [ RunTime:0.001722s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_template ] --END-- [ RunTime:-0.056235s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_parse ] --START--
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run ParseTemplate Behavior [ RunTime:0.007949s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.019905s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_filter ] --START--
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run ContentReplace Behavior [ RunTime:0.000159s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run TokenBuild Behavior [ RunTime:0.000117s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000034s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000205s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.019007s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_template ] --START--
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run LocationTemplate Behavior [ RunTime:0.001869s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_template ] --END-- [ RunTime:-0.067822s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_parse ] --START--
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run ParseTemplate Behavior [ RunTime:0.004719s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.031041s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_filter ] --START--
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run ContentReplace Behavior [ RunTime:0.000204s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run TokenBuild Behavior [ RunTime:0.000114s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000035s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000194s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.026869s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | SQL: SELECT `id`,`newtitle`,`fstcreate` FROM `news` ORDER BY id LIMIT 10   [ RunTime:0.000740s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | SQL: SELECT `id`,`newtitle`,`fstcreate`,`count` FROM `news` ORDER BY count,id LIMIT 10   [ RunTime:0.000860s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | SQL: SELECT news.id,count(comment.type) as counts,news.newtitle FROM `news` left join comment on comment.type=news.id WHERE comment.isdel=1 GROUP BY comment.type ORDER BY counts desc  [ RunTime:0.000566s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_template ] --START--
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run LocationTemplate Behavior [ RunTime:0.001787s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_template ] --END-- [ RunTime:-0.079494s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_parse ] --START--
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run ParseTemplate Behavior [ RunTime:0.014469s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.042650s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_filter ] --START--
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run ContentReplace Behavior [ RunTime:0.000240s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run TokenBuild Behavior [ RunTime:0.000117s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000034s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000200s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.048225s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | SQL: SHOW COLUMNS FROM `newtype` [ RunTime:0.003413s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | SQL: SELECT * FROM `newtype` WHERE isdel=0   [ RunTime:0.001188s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_template ] --START--
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run LocationTemplate Behavior [ RunTime:0.002460s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_template ] --END-- [ RunTime:-0.102754s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_parse ] --START--
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run ParseTemplate Behavior [ RunTime:0.006419s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.066656s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_filter ] --START--
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run ContentReplace Behavior [ RunTime:0.000140s ]
