[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_filter ] --START--
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run ContentReplace Behavior [ RunTime:0.000121s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run TokenBuild Behavior [ RunTime:0.000104s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000027s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run ShowRuntime Behavior [ RunTime:0.000158s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.438321s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | SQL: SHOW COLUMNS FROM `newtype` [ RunTime:0.024374s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | SQL: SELECT * FROM `newtype` WHERE isdel=0   [ RunTime:0.001575s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_template ] --START--
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run LocationTemplate Behavior [ RunTime:0.001519s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_template ] --END-- [ RunTime:-0.553393s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_parse ] --START--
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run ParseTemplate Behavior [ RunTime:0.006712s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.480924s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_filter ] --START--
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run ContentReplace Behavior [ RunTime:0.000136s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run TokenBuild Behavior [ RunTime:0.000124s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000035s ]
