[ 2013-11-04T10:04:50+08:00 ] /admin/admin.php | INFO: Tag[ app_begin ] --START--
[ 2013-11-04T10:04:50+08:00 ] /admin/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001892s ]
[ 2013-11-04T10:04:50+08:00 ] /admin/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002018s ]
[ 2013-11-04T10:04:50+08:00 ] /admin/admin.php | INFO: Tag[ view_template ] --START--
[ 2013-11-04T10:04:51+08:00 ] /admin/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.215863s ]
[ 2013-11-04T10:04:51+08:00 ] /admin/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.215995s ]
[ 2013-11-04T10:04:51+08:00 ] /admin/admin.php | INFO: Tag[ view_parse ] --START--
[ 2013-11-04T10:04:51+08:00 ] /admin/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.342872s ]
[ 2013-11-04T10:04:51+08:00 ] /admin/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.343017s ]
[ 2013-11-04T10:04:51+08:00 ] /admin/admin.php | INFO: Tag[ view_filter ] --START--
[ 2013-11-04T10:04:51+08:00 ] /admin/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.002605s ]
[ 2013-11-04T10:04:51+08:00 ] /admin/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.001876s ]
[ 2013-11-04T10:04:51+08:00 ] /admin/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001491s ]
[ 2013-11-04T10:04:51+08:00 ] /admin/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001989s ]
[ 2013-11-04T10:04:51+08:00 ] /admin/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008325s ]
[ 2013-11-04T10:04:51+08:00 ] /admin/admin.php | INFO: Tag[ view_end ] --START--
[ 2013-11-04T10:04:51+08:00 ] /admin/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001778s ]
