[ 2013-11-07T18:05:06+08:00 ] /admin/admin.php | INFO: Tag[ app_begin ] --START--
[ 2013-11-07T18:05:06+08:00 ] /admin/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000575s ]
[ 2013-11-07T18:05:06+08:00 ] /admin/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000675s ]
[ 2013-11-07T18:05:06+08:00 ] /admin/admin.php | INFO: Tag[ view_template ] --START--
[ 2013-11-07T18:05:06+08:00 ] /admin/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.114676s ]
[ 2013-11-07T18:05:06+08:00 ] /admin/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.114805s ]
[ 2013-11-07T18:05:06+08:00 ] /admin/admin.php | INFO: Tag[ view_parse ] --START--
[ 2013-11-07T18:05:07+08:00 ] /admin/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.180726s ]
[ 2013-11-07T18:05:07+08:00 ] /admin/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.180839s ]
[ 2013-11-07T18:05:07+08:00 ] /admin/admin.php | INFO: Tag[ view_filter ] --START--
[ 2013-11-07T18:05:07+08:00 ] /admin/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.001010s ]
[ 2013-11-07T18:05:07+08:00 ] /admin/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000469s ]
[ 2013-11-07T18:05:07+08:00 ] /admin/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000487s ]
[ 2013-11-07T18:05:07+08:00 ] /admin/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000623s ]
[ 2013-11-07T18:05:07+08:00 ] /admin/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002822s ]
[ 2013-11-07T18:05:07+08:00 ] /admin/admin.php | INFO: Tag[ view_end ] --START--
[ 2013-11-07T18:05:07+08:00 ] /admin/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.002428s ]
[ 2013-11-07T18:05:07+08:00 ] /admin/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.002545s ]
[ 2013-11-07T18:05:07+08:00 ] /admin/Index/verify/ | INFO: Tag[ route_check ] --START--
[ 2013-11-07T18:05:07+08:00 ] /admin/Index/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.103490s ]
[ 2013-11-07T18:05:07+08:00 ] /admin/Index/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.103618s ]
[ 2013-11-07T18:05:07+08:00 ] /admin/Index/verify/ | INFO: Tag[ app_begin ] --START--
[ 2013-11-07T18:05:07+08:00 ] /admin/Index/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003301s ]
