[ 2013-11-13T16:18:15+08:00 ] /admin/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001333s ]
[ 2013-11-13T16:18:15+08:00 ] /admin/admin.php | INFO: Tag[ view_template ] --START--
[ 2013-11-13T16:18:15+08:00 ] /admin/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.002117s ]
[ 2013-11-13T16:18:15+08:00 ] /admin/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.002238s ]
[ 2013-11-13T16:18:15+08:00 ] /admin/admin.php | INFO: Tag[ view_parse ] --START--
[ 2013-11-13T16:18:15+08:00 ] /admin/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.018057s ]
[ 2013-11-13T16:18:15+08:00 ] /admin/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018172s ]
[ 2013-11-13T16:18:15+08:00 ] /admin/admin.php | INFO: Tag[ view_filter ] --START--
[ 2013-11-13T16:18:15+08:00 ] /admin/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.001264s ]
[ 2013-11-13T16:18:15+08:00 ] /admin/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.001510s ]
[ 2013-11-13T16:18:15+08:00 ] /admin/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001009s ]
[ 2013-11-13T16:18:15+08:00 ] /admin/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001229s ]
[ 2013-11-13T16:18:15+08:00 ] /admin/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005306s ]
[ 2013-11-13T16:18:15+08:00 ] /admin/admin.php | INFO: Tag[ view_end ] --START--
[ 2013-11-13T16:18:15+08:00 ] /admin/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001710s ]
[ 2013-11-13T16:18:15+08:00 ] /admin/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001791s ]
[ 2013-11-13T16:18:15+08:00 ] /admin/Index/verify/ | INFO: Tag[ route_check ] --START--
[ 2013-11-13T16:18:15+08:00 ] /admin/Index/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.002116s ]
[ 2013-11-13T16:18:15+08:00 ] /admin/Index/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002263s ]
[ 2013-11-13T16:18:15+08:00 ] /admin/Index/verify/ | INFO: Tag[ app_begin ] --START--
[ 2013-11-13T16:18:15+08:00 ] /admin/Index/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001468s ]
[ 2013-11-13T16:18:15+08:00 ] /admin/Index/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001576s ]
[ 2013-11-13T16:18:15+08:00 ] /admin/Index/verify/ | NOTIC: [8] Use of undefined constant gif - assumed 'gif' IndexAction.class.php 第 14 行.
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Tag[ app_begin ] --START--
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000675s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000783s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Tag[ view_template ] --START--
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001910s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001995s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Tag[ view_parse ] --START--
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.021150s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021253s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Tag[ view_filter ] --START--
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.001649s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.001462s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000979s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001349s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005676s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Tag[ view_end ] --START--
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001099s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001161s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/Index/verify/ | INFO: Tag[ route_check ] --START--
[ 2013-11-13T16:18:16+08:00 ] /admin/Index/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.007839s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/Index/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.008203s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/Index/verify/ | INFO: Tag[ app_begin ] --START--
[ 2013-11-13T16:18:16+08:00 ] /admin/Index/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002098s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/Index/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002194s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/Index/verify/ | NOTIC: [8] Use of undefined constant gif - assumed 'gif' IndexAction.class.php 第 14 行.
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Tag[ app_begin ] --START--
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000628s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000747s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Tag[ view_template ] --START--
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000610s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000683s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Tag[ view_parse ] --START--
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.010404s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010605s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Tag[ view_filter ] --START--
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000522s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000531s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000517s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000582s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002380s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Tag[ view_end ] --START--
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000509s ]
[ 2013-11-13T16:18:16+08:00 ] /admin/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000572s ]
[ 2013-11-13T16:18:17+08:00 ] /admin/Index/verify/ | INFO: Tag[ route_check ] --START--
[ 2013-11-13T16:18:17+08:00 ] /admin/Index/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.002065s ]
[ 2013-11-13T16:18:17+08:00 ] /admin/Index/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002219s ]
[ 2013-11-13T16:18:17+08:00 ] /admin/Index/verify/ | INFO: Tag[ app_begin ] --START--
[ 2013-11-13T16:18:17+08:00 ] /admin/Index/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001424s ]
[ 2013-11-13T16:18:17+08:00 ] /admin/Index/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001493s ]
[ 2013-11-13T16:18:17+08:00 ] /admin/Index/verify/ | NOTIC: [8] Use of undefined constant gif - assumed 'gif' IndexAction.class.php 第 14 行.
[ 2013-11-13T16:18:18+08:00 ] /admin/Index/verify/0.07493930705823004 | INFO: Tag[ route_check ] --START--
[ 2013-11-13T16:18:18+08:00 ] /admin/Index/verify/0.07493930705823004 | INFO: Run CheckRoute Behavior [ RunTime:0.001492s ]
[ 2013-11-13T16:18:18+08:00 ] /admin/Index/verify/0.07493930705823004 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001647s ]
[ 2013-11-13T16:18:18+08:00 ] /admin/Index/verify/0.07493930705823004 | INFO: Tag[ app_begin ] --START--
[ 2013-11-13T16:18:18+08:00 ] /admin/Index/verify/0.07493930705823004 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000908s ]
[ 2013-11-13T16:18:18+08:00 ] /admin/Index/verify/0.07493930705823004 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001006s ]
[ 2013-11-13T16:18:18+08:00 ] /admin/Index/verify/0.07493930705823004 | NOTIC: [8] Use of undefined constant gif - assumed 'gif' IndexAction.class.php 第 14 行.
[ 2013-11-13T16:18:18+08:00 ] /admin/Index/verify/0.10791483358480036 | INFO: Tag[ route_check ] --START--
[ 2013-11-13T16:18:18+08:00 ] /admin/Index/verify/0.10791483358480036 | INFO: Run CheckRoute Behavior [ RunTime:0.000897s ]
[ 2013-11-13T16:18:18+08:00 ] /admin/Index/verify/0.10791483358480036 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001019s ]
[ 2013-11-13T16:18:18+08:00 ] /admin/Index/verify/0.10791483358480036 | INFO: Tag[ app_begin ] --START--
[ 2013-11-13T16:18:18+08:00 ] /admin/Index/verify/0.10791483358480036 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000556s ]
[ 2013-11-13T16:18:18+08:00 ] /admin/Index/verify/0.10791483358480036 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000614s ]
[ 2013-11-13T16:18:18+08:00 ] /admin/Index/verify/0.10791483358480036 | NOTIC: [8] Use of undefined constant gif - assumed 'gif' IndexAction.class.php 第 14 行.
[ 2013-11-13T16:18:19+08:00 ] /admin/Index/verify/0.37527156225405633 | INFO: Tag[ route_check ] --START--
[ 2013-11-13T16:18:19+08:00 ] /admin/Index/verify/0.37527156225405633 | INFO: Run CheckRoute Behavior [ RunTime:0.002475s ]
[ 2013-11-13T16:18:19+08:00 ] /admin/Index/verify/0.37527156225405633 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002629s ]
[ 2013-11-13T16:18:19+08:00 ] /admin/Index/verify/0.37527156225405633 | INFO: Tag[ app_begin ] --START--
[ 2013-11-13T16:18:19+08:00 ] /admin/Index/verify/0.37527156225405633 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001223s ]
[ 2013-11-13T16:18:19+08:00 ] /admin/Index/verify/0.37527156225405633 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001287s ]
[ 2013-11-13T16:18:19+08:00 ] /admin/Index/verify/0.37527156225405633 | NOTIC: [8] Use of undefined constant gif - assumed 'gif' IndexAction.class.php 第 14 行.
