[ 2013-11-27T14:12:17+08:00 ] /admin/admin.php | INFO: Tag[ app_begin ] --START--
[ 2013-11-27T14:12:17+08:00 ] /admin/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002609s ]
[ 2013-11-27T14:12:17+08:00 ] /admin/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002727s ]
[ 2013-11-27T14:12:17+08:00 ] /admin/admin.php | INFO: Tag[ view_template ] --START--
[ 2013-11-27T14:12:17+08:00 ] /admin/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.129058s ]
[ 2013-11-27T14:12:17+08:00 ] /admin/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.129225s ]
[ 2013-11-27T14:12:17+08:00 ] /admin/admin.php | INFO: Tag[ view_parse ] --START--
[ 2013-11-27T14:12:18+08:00 ] /admin/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.374594s ]
[ 2013-11-27T14:12:18+08:00 ] /admin/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.374713s ]
[ 2013-11-27T14:12:18+08:00 ] /admin/admin.php | INFO: Tag[ view_filter ] --START--
[ 2013-11-27T14:12:18+08:00 ] /admin/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.004697s ]
[ 2013-11-27T14:12:18+08:00 ] /admin/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.001786s ]
[ 2013-11-27T14:12:18+08:00 ] /admin/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001463s ]
[ 2013-11-27T14:12:18+08:00 ] /admin/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001744s ]
[ 2013-11-27T14:12:18+08:00 ] /admin/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.010006s ]
[ 2013-11-27T14:12:18+08:00 ] /admin/admin.php | INFO: Tag[ view_end ] --START--
[ 2013-11-27T14:12:18+08:00 ] /admin/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001736s ]
[ 2013-11-27T14:12:18+08:00 ] /admin/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001850s ]
[ 2013-11-27T14:12:18+08:00 ] /admin/Index/verify/ | INFO: Tag[ route_check ] --START--
[ 2013-11-27T14:12:18+08:00 ] /admin/Index/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.043643s ]
[ 2013-11-27T14:12:18+08:00 ] /admin/Index/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.043772s ]
[ 2013-11-27T14:12:18+08:00 ] /admin/Index/verify/ | INFO: Tag[ app_begin ] --START--
[ 2013-11-27T14:12:18+08:00 ] /admin/Index/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001984s ]
[ 2013-11-27T14:12:18+08:00 ] /admin/Index/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002076s ]
[ 2013-11-27T14:12:18+08:00 ] /admin/Index/verify/ | NOTIC: [8] Use of undefined constant gif - assumed 'gif' IndexAction.class.php 第 14 行.
[ 2013-11-27T14:12:36+08:00 ] /admin/Index/verify/0.4926534928381443 | INFO: Tag[ route_check ] --START--
[ 2013-11-27T14:12:36+08:00 ] /admin/Index/verify/0.4926534928381443 | INFO: Run CheckRoute Behavior [ RunTime:0.001770s ]
[ 2013-11-27T14:12:36+08:00 ] /admin/Index/verify/0.4926534928381443 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001892s ]
[ 2013-11-27T14:12:36+08:00 ] /admin/Index/verify/0.4926534928381443 | INFO: Tag[ app_begin ] --START--
