[ 2013-12-02T14:06:16+08:00 ] /admin/admin.php | INFO: Tag[ app_begin ] --START--
[ 2013-12-02T14:06:16+08:00 ] /admin/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.025445s ]
[ 2013-12-02T14:06:16+08:00 ] /admin/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.041902s ]
[ 2013-12-02T14:06:16+08:00 ] /admin/admin.php | INFO: Tag[ view_template ] --START--
[ 2013-12-02T14:06:16+08:00 ] /admin/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.079411s ]
[ 2013-12-02T14:06:16+08:00 ] /admin/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.079527s ]
[ 2013-12-02T14:06:16+08:00 ] /admin/admin.php | INFO: Tag[ view_parse ] --START--
[ 2013-12-02T14:06:16+08:00 ] /admin/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.375185s ]
[ 2013-12-02T14:06:16+08:00 ] /admin/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.375337s ]
[ 2013-12-02T14:06:16+08:00 ] /admin/admin.php | INFO: Tag[ view_filter ] --START--
[ 2013-12-02T14:06:16+08:00 ] /admin/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.001872s ]
[ 2013-12-02T14:06:16+08:00 ] /admin/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.003289s ]
[ 2013-12-02T14:06:17+08:00 ] /admin/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.187297s ]
[ 2013-12-02T14:06:17+08:00 ] /admin/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.057912s ]
[ 2013-12-02T14:06:17+08:00 ] /admin/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.250721s ]
[ 2013-12-02T14:06:17+08:00 ] /admin/admin.php | INFO: Tag[ view_end ] --START--
[ 2013-12-02T14:06:17+08:00 ] /admin/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.002081s ]
[ 2013-12-02T14:06:17+08:00 ] /admin/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.002191s ]
[ 2013-12-02T14:06:17+08:00 ] /admin/Index/verify/ | INFO: Tag[ route_check ] --START--
[ 2013-12-02T14:06:17+08:00 ] /admin/Index/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.007402s ]
[ 2013-12-02T14:06:17+08:00 ] /admin/Index/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.007558s ]
[ 2013-12-02T14:06:17+08:00 ] /admin/Index/verify/ | INFO: Tag[ app_begin ] --START--
[ 2013-12-02T14:06:17+08:00 ] /admin/Index/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.006735s ]
[ 2013-12-02T14:06:17+08:00 ] /admin/Index/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006826s ]
[ 2013-12-02T14:06:17+08:00 ] /admin/Index/verify/ | NOTIC: [8] Use of undefined constant gif - assumed 'gif' IndexAction.class.php 第 14 行.
[ 2013-12-02T14:06:28+08:00 ] /admin/Index/checklogin | ERR: (ThinkException) Couldn't connect to SQL Server on localhost,1433
[ 2013-12-02T14:07:42+08:00 ] /admin/Index/checklogin | ERR: (ThinkException) Couldn't connect to SQL Server on localhost,1433
[ 2013-12-02T14:09:25+08:00 ] /admin/Index/checklogin | ERR: (ThinkException) Couldn't connect to SQL Server on localhost,1433
[ 2013-12-02T14:20:49+08:00 ] /admin/Index/checklogin | ERR: (ThinkException) Couldn't connect to SQL Server on localhost,1433
[ 2013-12-02T14:20:55+08:00 ] /admin/Index/checklogin | ERR: (ThinkException) Couldn't connect to SQL Server on localhost,1433
[ 2013-12-02T14:23:08+08:00 ] /admin/Index/checklogin | ERR: (ThinkException) Couldn't connect to SQL Server on localhost,1433
[ 2013-12-02T14:42:04+08:00 ] /admin/Index/checklogin | ERR: (ThinkException) 系统不支持:mssql
[ 2013-12-02T14:57:39+08:00 ] /admin/Index/checklogin | ERR: (ThinkException) 系统不支持:mssql
[ 2013-12-02T14:57:41+08:00 ] /admin/Index/checklogin | ERR: (ThinkException) 系统不支持:mssql
[ 2013-12-02T15:02:38+08:00 ] /admin/Index/checklogin | ERR: (ThinkException) 系统不支持:mssql
[ 2013-12-02T15:08:05+08:00 ] /admin/Index/verify/ | INFO: Tag[ route_check ] --START--
[ 2013-12-02T15:08:05+08:00 ] /admin/Index/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.001175s ]
[ 2013-12-02T15:08:05+08:00 ] /admin/Index/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001303s ]
[ 2013-12-02T15:08:05+08:00 ] /admin/Index/verify/ | INFO: Tag[ app_begin ] --START--
[ 2013-12-02T15:08:05+08:00 ] /admin/Index/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000704s ]
[ 2013-12-02T15:08:05+08:00 ] /admin/Index/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000778s ]
[ 2013-12-02T15:08:05+08:00 ] /admin/Index/verify/ | NOTIC: [8] Use of undefined constant gif - assumed 'gif' IndexAction.class.php 第 14 行.
