[ 2013-12-12T13:58:38+08:00 ] /admin/admin.php | INFO: Tag[ app_begin ] --START--
[ 2013-12-12T13:58:38+08:00 ] /admin/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.024664s ]
[ 2013-12-12T13:58:38+08:00 ] /admin/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.041007s ]
[ 2013-12-12T13:58:38+08:00 ] /admin/admin.php | INFO: Tag[ view_template ] --START--
[ 2013-12-12T13:58:38+08:00 ] /admin/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.003094s ]
[ 2013-12-12T13:58:38+08:00 ] /admin/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.003233s ]
[ 2013-12-12T13:58:38+08:00 ] /admin/admin.php | INFO: Tag[ view_parse ] --START--
[ 2013-12-12T13:58:38+08:00 ] /admin/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.068220s ]
[ 2013-12-12T13:58:38+08:00 ] /admin/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.068334s ]
[ 2013-12-12T13:58:38+08:00 ] /admin/admin.php | INFO: Tag[ view_filter ] --START--
[ 2013-12-12T13:58:38+08:00 ] /admin/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.002489s ]
[ 2013-12-12T13:58:38+08:00 ] /admin/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.002939s ]
[ 2013-12-12T13:58:38+08:00 ] /admin/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001876s ]
[ 2013-12-12T13:58:38+08:00 ] /admin/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001802s ]
[ 2013-12-12T13:58:38+08:00 ] /admin/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009393s ]
[ 2013-12-12T13:58:38+08:00 ] /admin/admin.php | INFO: Tag[ view_end ] --START--
[ 2013-12-12T13:58:38+08:00 ] /admin/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001703s ]
[ 2013-12-12T13:58:38+08:00 ] /admin/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001788s ]
[ 2013-12-12T13:58:38+08:00 ] /admin/Index/verify/ | INFO: Tag[ route_check ] --START--
[ 2013-12-12T13:58:38+08:00 ] /admin/Index/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.005267s ]
[ 2013-12-12T13:58:38+08:00 ] /admin/Index/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.005471s ]
[ 2013-12-12T13:58:38+08:00 ] /admin/Index/verify/ | INFO: Tag[ app_begin ] --START--
[ 2013-12-12T13:58:38+08:00 ] /admin/Index/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003265s ]
[ 2013-12-12T13:58:38+08:00 ] /admin/Index/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003412s ]
[ 2013-12-12T13:58:38+08:00 ] /admin/Index/verify/ | NOTIC: [8] Use of undefined constant gif - assumed 'gif' IndexAction.class.php 第 14 行.
[ 2013-12-12T13:58:45+08:00 ] /admin/Index/verify/0.2331328468862921 | INFO: Tag[ route_check ] --START--
[ 2013-12-12T13:58:45+08:00 ] /admin/Index/verify/0.2331328468862921 | INFO: Run CheckRoute Behavior [ RunTime:0.006263s ]
[ 2013-12-12T13:58:45+08:00 ] /admin/Index/verify/0.2331328468862921 | INFO: Tag[ route_check ] --END-- [ RunTime:0.006604s ]
[ 2013-12-12T13:58:45+08:00 ] /admin/Index/verify/0.2331328468862921 | INFO: Tag[ app_begin ] --START--
[ 2013-12-12T13:58:45+08:00 ] /admin/Index/verify/0.2331328468862921 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004390s ]
[ 2013-12-12T13:58:45+08:00 ] /admin/Index/verify/0.2331328468862921 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004616s ]
[ 2013-12-12T13:58:45+08:00 ] /admin/Index/verify/0.2331328468862921 | NOTIC: [8] Use of undefined constant gif - assumed 'gif' IndexAction.class.php 第 14 行.
[ 2013-12-12T13:58:46+08:00 ] /admin/Index/verify/0.6895980075933039 | INFO: Tag[ route_check ] --START--
[ 2013-12-12T13:58:46+08:00 ] /admin/Index/verify/0.6895980075933039 | INFO: Run CheckRoute Behavior [ RunTime:0.003523s ]
[ 2013-12-12T13:58:46+08:00 ] /admin/Index/verify/0.6895980075933039 | INFO: Tag[ route_check ] --END-- [ RunTime:0.004033s ]
[ 2013-12-12T13:58:46+08:00 ] /admin/Index/verify/0.6895980075933039 | INFO: Tag[ app_begin ] --START--
